,Unnamed: 0,Unnamed: 0.1.1,mvrv_z_score,mvrv_momentum,nvt_smooth,nvt_dynamic,hashRate_change,log_return,drawdown_micro,rsi_7,rsi_14,rsi_slop,state
0,0,0,-0.8932944466623242,0.0033896992420201,15.650729970316071,-0.5502289923570176,4.779482848269545,0.0029478443458749,-0.1596180444728162,1.938582552895724,2.096743839782277,-98.06141744710428,2.0
1,1,1,-0.8892017215152414,0.0163709005883312,15.600327838970063,-0.5552445363647269,2.7151476082508896,-0.0552407393107756,-0.2047824236620916,1.2355063949826928,1.3754207781324652,-0.7030761579130311,2.0
2,2,2,-0.9190734167271484,-0.0189577614863528,15.516966891590496,-0.57653598885598,1.6592271456680183,-0.1160953279476772,-0.291945951696989,21.46282499813848,19.523694967258635,20.227318603155783,2.0
3,3,3,-0.9489451119390554,-0.0542864235610369,15.433605944210928,-0.5978274413472331,6.30191955652728,0.0390473177825032,-0.2637514629215873,38.27235553915163,34.35078726787485,16.809530541013157,2.0
4,4,4,-0.9788168071509624,-0.089615085635721,15.35024499683136,-0.6191188938384862,-4.731793670576135,0.0,-0.2457560151502765,47.4065135833862,42.31181253371828,9.134158044234567,0.0
5,5,5,-0.9824123500022396,-0.0708068570780679,15.249972963555932,-0.6729879068838063,-13.037072200675391,0.0,-0.22525750111957,38.45400901309474,35.975974697085846,-8.95250457029146,2.0
6,6,6,-0.9860078928535166,-0.0519986285204147,15.149700930280508,-0.7268569199291264,-8.388336661251984,0.0,-0.22525750111957,46.085087637881,41.9860917600161,7.631078624786262,0.0
7,7,7,-0.9896034357047938,-0.0331903999627616,15.049428897005082,-0.7807259329744465,-13.781146690755374,0.0,-0.22525750111957,34.91491563985926,34.31402726011552,-11.170171998021743,2.0
8,8,8,-0.9931989785560708,-0.0143821714051084,14.949156863729655,-0.8345949460197666,-9.202470001929264,0.0074146400233604,-0.2187920215150156,29.957565125194208,30.770594120005043,-4.957350514665052,2.0
9,9,9,-1.0808871117022485,-0.098474761700009,14.780862698436648,-0.9564745821872472,-4.67710877283084,-0.0285910428871741,-0.234225324253299,32.569050924571314,32.52497255524672,2.611485799377107,2.0
10,10,10,-1.168575244848426,-0.1825673519949096,14.61256853314364,-1.078354218354728,-16.727554341587002,3.689968820185438e-05,-0.2341970668851903,17.5670295506999,21.177991093943,-15.002021373871417,2.0
11,11,11,-1.256263377994604,-0.2666599422898101,14.44427436785063,-1.2002338545222089,3.377893414132016,-0.1518041981643679,-0.337826692830532,10.897570478423944,14.831817762592522,-6.669459072275956,2.0
12,12,12,-1.3439515111407816,-0.3507525325847107,14.27598020255762,-1.3221134906896896,9.958699884121502,-0.251854491137709,-0.4628761350822007,31.16226711204105,29.872703916399104,20.264696633617103,2.0
13,13,13,-1.3196567248408075,-0.2387696131385591,14.13983177512051,-1.401054395618473,8.39390818598751,0.1897067420767342,-0.3506736304825212,30.713727577943885,29.56324451995414,-0.4485395340971649,2.0
14,14,14,-1.2953619385408337,-0.1267866936924074,14.0036833476834,-1.479995300547256,1.656428386446307,-0.0552434633509837,-0.3855718440263517,28.309046936543268,27.98404156602875,-2.404680641400617,2.0
15,15,15,-1.27106715224086,-0.0148037742462558,13.867534920246287,-1.5589362054760394,8.144472078340549,-0.0418689885352792,-0.4107662175796783,35.67527956520277,32.82856452701732,7.366232628659503,2.0
16,16,16,-1.2467723659408858,0.0971791451998957,13.731386492809175,-1.6378771104048226,9.457679555164278,0.0559685890797297,-0.3768472906403941,38.67574416684234,34.757707973789124,3.000464601639571,2.0
17,17,17,-1.2356604416069852,0.0888552404938172,13.73351598505862,-1.595683502910095,3.137104683716019,0.0105164398869314,-0.3702593625734465,37.092836327353005,33.93467642060247,-1.5829078394893372,2.0
18,18,18,-1.2245485172730846,0.0805313357877387,13.735645477308063,-1.5534898954153675,-9.1404102436335,0.002306371783233,-0.3688052703424536,48.00292698728256,40.59173845470429,10.910090659929551,0.0
19,19,19,-1.213436592939184,0.0722074310816602,13.737774969557508,-1.51129628792064,8.965284145050244,0.0106157613018528,-0.3620689655172414,52.05527831525524,43.16793163877544,4.05235132797268,0.0
20,20,20,-1.2023246686052833,0.0638835263755816,13.739904461806953,-1.4691026804259124,-15.070397757622525,0.0840958720972575,-0.2897023086269744,51.67486381746564,43.005323894430354,-0.3804144977895944,1.0
21,21,21,-1.191212744271383,0.0555596216695031,13.742033954056398,-1.4269090729311849,-9.4950205196343,-0.0044575959970861,-0.292861482381531,61.095592684102144,48.893580752229646,9.420728866636502,0.0
22,22,22,-1.1597448746673884,0.0731375858561216,13.781885944356,-1.346398963806512,-13.889774544983602,0.0543000672482353,-0.2534021871202916,64.2819491164571,51.03060888673931,3.186356432354956,0.0
23,23,23,-1.128277005063394,0.0907155500427401,13.821737934655603,-1.2658888546818394,-20.70604193909544,0.0070949599279103,-0.2191975269699072,72.97197756170665,57.47431047552822,8.690028445249553,0.0
24,24,24,-1.0968091354593998,0.1082935142293586,13.861589924955208,-1.1853787455571667,11.160191997812996,0.0624077227230156,-0.1689167875843794,63.80602443490998,53.62817872275598,-9.165953126796673,1.0
25,25,25,-1.0653412658554056,0.1258714784159771,13.90144191525481,-1.104868636432494,12.897229587873891,0.0080142567836901,-0.1613035652256293,44.51774281631266,44.20855620783935,-19.28828161859732,0.0
26,26,26,-1.103152986031759,0.0565918886356294,13.885839400954314,-1.0920185287274768,0.7158967462433719,-0.101314842949076,-0.2421132409132536,44.30524831954408,44.095125774804345,-0.2124944967685849,2.0
